feature,role,feature_set,baseline_handling,sentinel_rule,field_definition,semantic_category,attacker_visible,agent_mutability,action_scope,valid_domain,replacement_rule,relationship_constraints,edit_budget_cost,attacker_instruction,governance_status,evidence_strength,evidence_source_keys,evidence_locations,status,rationale,policy_version,data_type,domain_mode,lower_bound,upper_bound,allowed_values_json,sentinel_spec_json,sentinel_policy,hard_constraints_json,agent_action_mode,proxy_action_key,proxy_mapping_json,support_split
zip_count_4w,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Applications from the same zip code during the previous 4 weeks.,system_observed_or_aggregated,no,forbidden,system_fixed,"[1,6830]",preserve anchor exactly,"No zip-code input or history transition model exists, so the aggregate cannot be recomputed.",0; not in attacker action space,MUST preserve anchor; MUST NOT expose as a direct action.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,System-derived aggregate feature,attack-governance-v2.0.0,integer,preserve_anchor,1,6830,[],{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
velocity_6h,input_candidate,core,Retain observed negatives; do not reinterpret as missing without evidence,none,Average application volume per hour over the previous 6 hours.,system_observed_or_aggregated,no,forbidden,system_fixed,"official [-175,16818]; negatives are observed values, not documented sentinels",preserve anchor exactly,No history transition model exists.,0; not in attacker action space,MUST preserve anchor; MUST NOT expose as a direct action.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,Negative values are within the official range and are not documented sentinels,attack-governance-v2.0.0,float,preserve_anchor,-175,16818,[],{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
velocity_24h,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Average application volume per hour over the previous 24 hours.,system_observed_or_aggregated,no,forbidden,system_fixed,"[1297,9586]",preserve anchor exactly,No history transition model exists.,0; not in attacker action space,MUST preserve anchor; MUST NOT expose as a direct action.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,System-derived aggregate feature,attack-governance-v2.0.0,float,preserve_anchor,1297,9586,[],{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
velocity_4w,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Average application volume per hour over the previous 4 weeks.,system_observed_or_aggregated,no,forbidden,system_fixed,"[2825,7020]",preserve anchor exactly,No history transition model exists.,0; not in attacker action space,MUST preserve anchor; MUST NOT expose as a direct action.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,System-derived aggregate feature,attack-governance-v2.0.0,float,preserve_anchor,2825,7020,[],{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
bank_branch_count_8w,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Applications at the selected bank branch during the previous 8 weeks.,system_observed_or_aggregated,no,forbidden,system_fixed,"[0,2404]",preserve anchor exactly,Branch identity and a recomputation function are absent from BAF.,0; not in attacker action space,MUST preserve anchor; MUST NOT expose as a direct action.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,System-derived aggregate feature,attack-governance-v2.0.0,integer,preserve_anchor,0,2404,[],{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
date_of_birth_distinct_emails_4w,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Distinct emails associated with applicants sharing the same date of birth during the previous 4 weeks.,system_observed_or_aggregated,no,forbidden,system_fixed,"[0,39]",preserve anchor exactly,No underlying email/date history transition model exists.,0; not in attacker action space,MUST preserve anchor; MUST NOT expose as a direct action.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,System-derived aggregate feature,attack-governance-v2.0.0,integer,preserve_anchor,0,39,[],{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
employment_status,input_candidate,core,Retain as categorical; encoding fitted on train only,none,"Applicant employment status, anonymised into 7 categories.",identity_related_constrained,yes,allowed_if_episode_locked,episode_static,month-0-5 observed categories only (7 anonymised values),All replacement values must use the official type/domain and month-0-5 training support only; month 6/7 must never define action values.,Hold constant across the episode; categorical validity required; D2 may assess consistency with the rest of the application.,1 per submitted field that differs from the anchor,MAY change once before the first submission; MUST remain fixed thereafter.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Applicant-derived categorical feature; fairness interpretation may be required,attack-governance-v2.0.0,categorical,categorical_train_support,,,[],{},none,"[{""type"":""domain""},{""type"":""episode_lock_on_first_submission""}]",raw_value,,{},train_months_0_5
credit_risk_score,input_candidate,optional_sensitivity,Do not permanently delete; exclude from core and test in extended feature set; retain negative values,none,Defender-internal application risk score.,system_observed_or_aggregated,no,forbidden,system_fixed,"[-191,389]",preserve anchor exactly; feature is absent from the core model,Never expose the internal score to the attacker; only the pre-registered feedback channel may be returned.,0; not in attacker action space,MUST NOT expose or modify.,frozen_project_rule,high,BAF-Q7; EXPERIMENT_SPEC; FRAUD-RLA-S2.1/S3.1,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | ../../EXPERIMENT_SPEC.md | https://arxiv.org/abs/2502.02290,frozen_group,"Codebook: internal application risk score; circularity/timing require sensitivity analysis, but leakage is not confirmed",attack-governance-v2.0.0,integer,preserve_anchor,-191,389,[],{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
email_is_free,input_candidate,core,Retain as binary,none,Whether the application email domain is free rather than paid.,identity_related_constrained,yes,allowed,per_attempt,"{0,1}","Agent may reselect the email-domain class on each submission within {0,1}.",No hard rule forces co-change with name_email_similarity; D2 may later assess semantic consistency.,1 per submitted field that differs from the anchor,MAY change on each submission within the common budget and valid support.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Derived application feature; per-attempt under governance v2.0.0,attack-governance-v2.0.0,binary,fixed_set,,,"[0,1]",{},none,"[{""type"":""domain""}]",raw_value,,{},train_months_0_5
housing_status,input_candidate,core,Retain as categorical; encoding fitted on train only,none,"Applicant current residential status, anonymised into 7 categories.",identity_related_constrained,yes,allowed_if_episode_locked,episode_static,month-0-5 observed categories only (7 anonymised values),All replacement values must use the official type/domain and month-0-5 training support only; month 6/7 must never define action values.,Hold constant across the episode; categorical validity required; D2 may assess consistency.,1 per submitted field that differs from the anchor,MAY change once before the first submission; MUST remain fixed thereafter.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Applicant-derived categorical feature,attack-governance-v2.0.0,categorical,categorical_train_support,,,[],{},none,"[{""type"":""domain""},{""type"":""episode_lock_on_first_submission""}]",raw_value,,{},train_months_0_5
phone_home_valid,input_candidate,core,Retain as binary,none,Whether the provided home phone passes the dataset's validity check.,identity_related_constrained,proxy_only,allowed,per_attempt,"{0,1}",Agent chooses whether to provide a valid home-phone configuration on each submission; the environment maps this to the binary proxy.,Do not present the binary as a direct real-world form field. No hard rule forces co-change with phone_mobile_valid.,1 per submitted field that differs from the anchor,"MAY choose on each submission via the abstract home_phone_configuration action; MUST remain fixed only within that candidate, not across the episode by lock.",frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Derived validation feature; per-attempt under governance v2.0.0,attack-governance-v2.0.0,binary,proxy_action,,,"[0,1]",{},none,"[{""type"":""domain""},{""type"":""no_direct_value""}]",proxy_action,home_phone_configuration,"{""strategy"":""fixed_supported_value"",""seed"":20260801,""actions"":{""home_phone_unverified"":{""value"":0},""home_phone_verified"":{""value"":1}}}",train_months_0_5
phone_mobile_valid,input_candidate,core,Retain as binary,none,Whether the provided mobile phone passes the dataset's validity check.,identity_related_constrained,proxy_only,allowed,per_attempt,"{0,1}",Agent chooses whether to provide a valid mobile-phone configuration on each submission; the environment maps this to the binary proxy.,Do not present the binary as a direct real-world form field. No hard rule forces co-change with phone_home_valid.,1 per submitted field that differs from the anchor,"MAY choose on each submission via the abstract mobile_phone_configuration action; MUST remain fixed only within that candidate, not across the episode by lock.",frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Derived validation feature; per-attempt under governance v2.0.0,attack-governance-v2.0.0,binary,proxy_action,,,"[0,1]",{},none,"[{""type"":""domain""},{""type"":""no_direct_value""}]",proxy_action,mobile_phone_configuration,"{""strategy"":""fixed_supported_value"",""seed"":20260801,""actions"":{""mobile_phone_unverified"":{""value"":0},""mobile_phone_verified"":{""value"":1}}}",train_months_0_5
bank_months_count,input_candidate,core,Convert official sentinel to missing; subsequent imputation fitted on train only,-1 -> missing,"Age in months of a previous bank account, if held.",identity_related_constrained,yes,forbidden,episode_fixed,"official [-1,32]; -1 is missing",preserve anchor exactly,Evidence-linked account history cannot be created or changed within one attack episode.,0; not in attacker action space,MUST preserve anchor; MAY use as context but not as an action.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,frozen_sentinel,BAF Datasheet Q7,attack-governance-v2.0.0,integer,preserve_anchor,-1,32,[],"{""kind"":""values"",""values"":[-1]}",retain_anchor_only,"[{""type"":""anchor_equal""},{""type"":""sentinel_retain_anchor_only""}]",none,,{},train_months_0_5
has_other_cards,input_candidate,core,Retain as binary,none,Whether the applicant has other cards from the same banking company.,identity_related_constrained,yes,forbidden,episode_fixed,"{0,1}",preserve anchor exactly,Bank-observed relationship history cannot be created or changed within one attack episode.,0; not in attacker action space,MUST preserve anchor; MAY use as context but not as an action.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Applicant/account relationship feature,attack-governance-v2.0.0,binary,preserve_anchor,,,"[0,1]",{},none,"[{""type"":""anchor_equal""}]",none,,{},train_months_0_5
proposed_credit_limit,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Credit limit proposed by the applicant.,direct_applicant_declared,yes,allowed,per_attempt,"[200,2000], restricted to month-0-5 observed support",All replacement values must use the official type/domain and month-0-5 training support only; month 6/7 must never define action values.,Numeric type preserved.,1 per submitted field that differs from the anchor,MAY change on each submission within the common budget and valid support.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://arxiv.org/abs/2208.13058,working,Application feature,attack-governance-v2.0.0,float,bounded_train_support,200,2000,[],{},none,"[{""type"":""domain""}]",raw_value,,{},train_months_0_5
foreign_request,input_candidate,core,Retain as binary,none,Whether the request's origin country differs from the bank's country.,environment_configurable,yes,allowed,per_attempt,"{0,1}",Agent chooses a same-country or foreign-origin environment state; environment maps it to the binary proxy.,"Treat as an environment action, not as a directly typed application field.",1 per submitted field that differs from the anchor,MAY change on each submission within the common budget.,frozen_attacker_rule,medium,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Kireev-2022-S3.3; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://arxiv.org/abs/2208.13058 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,System-derived request feature,attack-governance-v2.0.0,binary,fixed_set,,,"[0,1]",{},none,"[{""type"":""domain""}]",raw_value,,{},train_months_0_5
source,input_candidate,core,Retain as categorical; encoding fitted on train only,none,Application channel: browser (INTERNET) or app (TELEAPP).,environment_configurable,yes,allowed,per_attempt,"{INTERNET,TELEAPP}",All replacement values must use the official type/domain and month-0-5 training support only; month 6/7 must never define action values.,Categorical type preserved.,1 per submitted field that differs from the anchor,MAY change on each submission within the common budget.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Kireev-2022-S3.3; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://arxiv.org/abs/2208.13058 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,working,Application channel,attack-governance-v2.0.0,categorical,categorical_train_support,,,"[""INTERNET"",""TELEAPP""]",{},none,"[{""type"":""domain""}]",raw_value,,{},train_months_0_5
session_length_in_minutes,input_candidate,core,Convert official sentinel to missing; subsequent imputation fitted on train only,-1 -> missing,Length of the application session in minutes.,environment_configurable,yes,allowed,per_attempt,"official [-1,107]; replacement uses non-sentinel month-0-5 support, while an anchor -1 may be retained",Choose a train-supported non-sentinel session duration; do not create -1 as an evasion action.,"Treat as session behaviour, not a directly typed application field.",1 per submitted field that differs from the anchor,MAY change on each submission within the common budget and valid support.,frozen_attacker_rule,medium,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Kireev-2022-S3.3; Simonetto-2024-S3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://arxiv.org/abs/2208.13058 | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html,frozen_sentinel,BAF Datasheet Q7,attack-governance-v2.0.0,float,bounded_train_support,-1,107,[],"{""kind"":""values"",""values"":[-1]}",retain_anchor_only,"[{""type"":""domain""},{""type"":""sentinel_retain_anchor_only""}]",raw_value,,{},train_months_0_5
